Sex,Year of birth,Cranial Volume (cm3),Winter temperature (standardized),Moose abundance (standardized),Wolf abundance (standardized),Winter temperature (categorical),Age at death
Male,1989,1627.769,0.817,0.629,-1.055,warm,5
Male,1989,1877.514,0.817,0.629,-1.055,warm,6
Male,1989,2015.398,0.817,0.629,-1.055,warm,6
Male,1988,1551.487,-0.411,0.135,-1.055,cold,7
Male,1988,2125.064,-0.411,0.135,-1.055,cold,7
Male,1989,1627.721,0.817,0.629,-1.055,warm,6
Male,1988,1798.191,-0.411,0.135,-1.055,cold,7
Male,1988,1899.418,-0.411,0.135,-1.055,cold,7
Male,1988,1830.985,-0.411,0.135,-1.055,cold,8
Male,1989,1682.392,0.817,0.629,-1.055,warm,6
Male,1989,1690.479,0.817,0.629,-1.055,warm,6
Male,1989,1509.832,0.817,0.629,-1.055,warm,6
Male,1989,1618.286,0.817,0.629,-1.055,warm,6
Male,1988,1894.674,-0.411,0.135,-1.055,cold,7
Male,1988,1547.281,-0.411,0.135,-1.055,cold,7
Male,1992,1842.853,0.075,2.137,-1.055,cold,6
Male,1992,1475.32,0.075,2.137,-1.055,cold,6
Male,1988,1911.28,-0.411,0.135,-1.055,cold,11
Male,1988,1658.631,-0.411,0.135,-1.055,cold,7
Male,1992,1629.946,0.075,2.137,-1.055,cold,7
Male,1989,1910.65,0.817,0.629,-1.055,warm,6
Male,1992,1559.692,0.075,2.137,-1.055,cold,8
Male,1991,1763.451,1.273,1.443,-1.055,warm,10
Male,1992,1839.47,0.075,2.137,-1.055,cold,9
Male,1989,1877.134,0.817,0.629,-1.055,warm,12
Male,1991,1917.67,1.273,1.443,-1.055,warm,10
Male,1988,2047.038,-0.411,0.135,-1.055,cold,12
Male,1992,1806.799,0.075,2.137,-1.055,cold,10
Male,1989,1614.188,0.817,0.629,-1.055,warm,12
Male,1988,1757.488,-0.411,0.135,-1.055,cold,7
Male,1992,1879.399,0.075,2.137,-1.055,cold,11
Male,1989,1943.941,0.817,0.629,-1.055,warm,13
Male,1992,1890.837,0.075,2.137,-1.055,cold,11
Male,1991,1821.815,1.273,1.443,-1.055,warm,12
Male,1988,1617.186,-0.411,0.135,-1.055,cold,8
Male,1989,1719.735,0.817,0.629,-1.055,warm,15
Male,1988,2072.318,-0.411,0.135,-1.055,cold,15
Male,1992,2168.916,0.075,2.137,-1.055,cold,12
Male,1992,1985.977,0.075,2.137,-1.055,cold,12
Male,1991,1993.952,1.273,1.443,-1.055,warm,13
Male,1991,1745.108,1.273,1.443,-1.055,warm,5
Male,1988,1813.006,-0.411,0.135,-1.055,cold,8
Male,1989,1948.336,0.817,0.629,-1.055,warm,13
Male,1992,1795.556,0.075,2.137,-1.055,cold,11
Male,1989,1577.008,0.817,0.629,-1.055,warm,14
Male,1991,1699.694,1.273,1.443,-1.055,warm,10
Male,1992,2083.193,0.075,2.137,-1.055,cold,13
Male,1991,1985.716,1.273,1.443,-1.055,warm,14
Male,1992,1646.561,0.075,2.137,-1.055,cold,9
Male,1989,1593.96,0.817,0.629,-1.055,warm,12
Male,1991,1925.13,1.273,1.443,-1.055,warm,13
Male,1992,1867.749,0.075,2.137,-1.055,cold,13
Male,1993,1739.986,-1.886,2.433,-0.944,cold,6
Male,1993,1728.604,-1.886,2.433,-0.944,cold,9
Male,1993,1632.398,-1.886,2.433,-0.944,cold,9
Male,1993,1892.367,-1.886,2.433,-0.944,cold,9
Male,1993,1764.647,-1.886,2.433,-0.944,cold,9
Male,1993,1747.567,-1.886,2.433,-0.944,cold,11
Male,1993,1977.475,-1.886,2.433,-0.944,cold,13
Male,1993,1982.279,-1.886,2.433,-0.944,cold,13
Male,1993,1867.267,-1.886,2.433,-0.944,cold,14
Male,1982,2162.993,1.213,-1.023,-0.832,warm,6
Male,1982,2182.505,1.213,-1.023,-0.832,warm,8
Male,1982,1989.666,1.213,-1.023,-0.832,warm,10
Male,1982,1893.731,1.213,-1.023,-0.832,warm,11
Male,1982,1871.583,1.213,-1.023,-0.832,warm,11
Male,1982,1883.374,1.213,-1.023,-0.832,warm,11
Male,1982,1926.552,1.213,-1.023,-0.832,warm,10
Male,1982,1940.667,1.213,-1.023,-0.832,warm,9
Male,1982,2110.967,1.213,-1.023,-0.832,warm,12
Male,1982,2285.839,1.213,-1.023,-0.832,warm,12
Male,1982,1925.952,1.213,-1.023,-0.832,warm,12
Male,1982,1925.794,1.213,-1.023,-0.832,warm,13
Male,1982,1997.727,1.213,-1.023,-0.832,warm,13
Male,1982,1921.677,1.213,-1.023,-0.832,warm,13
Male,1982,2186.289,1.213,-1.023,-0.832,warm,13
Male,1982,2060.936,1.213,-1.023,-0.832,warm,13
