year,wolves,moose,kill rate,predation rate,moose recruitment rate,moose mean age excluding calves,"July-Sept (temp, F)","Apr-May (temp, F)","Jan-Feb (temp, F)","May-Aug (precip, inches)",NAO (DJFM - station based),NAO - annual,snow.depth (cm),"ice bridges (0=none, 1 = present)"
1959,20,538,N/A,N/A,20,5.82,61.2,43.9,1.4,16.8,-0.37,1.83,NA,0
1960,22,564,N/A,N/A,14.3,6.14,60.667,43.4,8.45,12.08,-1.54,-1.88,NA,0
1961,22,572,N/A,N/A,19.5,6.27,60.967,41.4,9.75,8.94,1.8,0.47,NA,1
1962,23,579,N/A,N/A,16.5,6.11,57.9,42.6,2.15,16.01,-2.38,-1.05,NA,1
1963,20,596,N/A,N/A,21.2,5.76,60.733,43.5,-0.35,14.1,-3.6,-2.16,NA,1
1964,26,620,N/A,N/A,15.9,5.37,58.333,45.75,12.4,17.35,-2.86,-1.04,NA,0
1965,28,634,N/A,N/A,13.2,5.18,55.567,43.65,1.25,13.68,-2.88,-1.77,NA,1
1966,26,661,N/A,N/A,18,4.89,60.367,39.2,1.7,13.06,-1.69,-2.54,NA,1
1967,22,766,N/A,N/A,21,4.88,58.8,39.9,2.75,12.49,1.28,1.67,NA,1
1968,22,848,N/A,N/A,20,4.48,59.133,43,5.85,18.24,-1.04,-2.97,NA,1
1969,17,1041,N/A,N/A,16.5,4.52,60.7,44.95,7.8,14.37,-4.89,-2.58,NA,1
1970,18,1045,N/A,N/A,16.1,4.53,61.7,41.15,3.35,11.51,-1.89,-1.08,NA,1
1971,20,1183,0.615,0.062,11.4,4.96,58.733,42.45,3.2,13.54,-0.96,-0.08,NA,1
1972,23,1243,0.819,0.091,10.7,5.21,57.433,44.1,-0.05,16.11,0.34,2.05,NA,1
1973,24,1215,0.760,0.090,15.1,5.53,60.2,42.7,10.85,17.24,2.52,0.27,NA,0
1974,31,1203,0.599,0.093,14.7,5.97,58.133,41.55,5.65,15.86,1.23,2.18,19.674,1
1975,41,1139,0.645,0.139,12.3,6.31,59.733,42.8,9.05,13.52,1.63,0.01,18.380,0
1976,44,1070,0.563,0.139,10.3,6.61,60.867,45.95,10.45,10.92,1.37,0.59,21.062,0
1977,34,949,0.298,0.064,6.1,6.99,57.767,50.55,4.7,17.72,-2.14,-2.08,15.074,1
1978,40,845,0.507,0.144,10.2,7.37,60.3,44.9,3.25,18.44,0.17,-0.42,17.055,0
1979,43,857,0.387,0.117,13,7.98,59.533,39.5,-1.15,13.9,-2.25,-0.23,25.737,1
1980,50,788,0.330,0.126,12,7.95,60.1,47.95,7.15,12.89,0.56,-1.58,14.139,0
1981,30,767,0.217,0.051,23.7,7.89,60.333,44.5,11.7,13.32,2.05,-0.55,11.170,0
1982,14,780,0.869,0.094,20.7,7.97,59,43.75,0.4,16.11,0.8,2.63,21.216,1
1983,23,830,0.394,0.065,16.4,7.35,63.633,41.1,14.45,13.93,3.42,0.38,16.248,0
1984,24,927,0.440,0.068,14.5,6.78,60.133,44.85,12.5,13.5,1.6,2.17,12.785,0
